Type,Engine,Topic,Subtopic,Question_Text,Expected_Answer
Visual Question,SET_THEORY,Symmetric Difference,Quest 10: Talent Show,How many have Only One talent?,
Visual Question,SET_THEORY,Finding Missing Regions,Topic 10: Language Totals,Phase 1: Total English is 45. Intersection is 15. Fill the diagram.,
Visual Question,SET_THEORY,Finding Missing Regions,Topic 10: Language Totals,Phase 2: Total villagers = 80. Find m.,
Visual Question,SET_THEORY,Finding Missing Regions,Topic 10: Language Totals,Find the Total Luganda speakers.,
Visual Question,SET_THEORY,Finding Neither,Quest 10-005: Art Club,"Phase 1: P=20, D=15, Both=5. Fill Only regions.",
Visual Question,SET_THEORY,Finding Neither,Quest 10-005: Art Club,Phase 2: Total students = 40. Find y (Neither).,
Visual Question,SET_THEORY,Finding Intersection,Quest 10-006: Science Fair,Phase 1: Both is x. Neither is 5. Fill diagram.,
Visual Question,SET_THEORY,Finding Intersection,Quest 10-006: Science Fair,Phase 2: Total = 60. Find x.,
Visual Question,SET_THEORY,Set Totals Algebra,Quest 10-007: The Clinic,"Phase 1: n(M)=2x, n(T)=x. Both=10. Fill Only regions.",
Visual Question,SET_THEORY,Set Totals Algebra,Quest 10-007: The Clinic,Phase 2: Total patients = 60. Find x.,
Visual Question,SET_THEORY,Set Totals Algebra,Quest 10-007: The Clinic,Find Total Malaria Cases n(M).,
Visual Question,SET_THEORY,Probability Calculation,Quest 10-008: Language Prob,Total = 100. Everyone speaks at least one. Find x (Both).,
Visual Question,SET_THEORY,Probability Calculation,Quest 10-008: Language Prob,Prob. of speaking Only One language?,
Visual Question,SET_THEORY,Finding Missing Regions,Topic 10: Harvest Time,Phase 1: Total Rice is 60. Intersection is 20. Fill the diagram.,
Visual Question,SET_THEORY,Finding Missing Regions,Topic 10: Harvest Time,Phase 2: Total farmers = 100. Find p.,
Visual Question,SET_THEORY,Finding Missing Regions,Topic 10: Harvest Time,Find the Total Beans growers.,
Visual Question,SET_THEORY,Algebraic Ratios II,Topic 10: Peas & Beans,Phase 1: Beans only is 2x. Neither is 10. Fill the diagram.,
Visual Question,SET_THEORY,Algebraic Ratios II,Topic 10: Peas & Beans,Phase 2: Total farmers = 90. Find x.,
Visual Question,SET_THEORY,Algebraic Ratios II,Topic 10: Peas & Beans,How many grow Beans in total?,
Visual Question,SET_THEORY,Complex Word Problems,Topic 10: Wedding Drinks,Phase 1: Wine only is 2 less than thrice x. Neither is 11.,
Visual Question,SET_THEORY,Complex Word Problems,Topic 10: Wedding Drinks,Phase 2: Total guests = 62. Find x.,
Visual Question,SET_THEORY,Complex Word Problems,Topic 10: Wedding Drinks,Find Total Wine drinkers.,
Visual Question,SET_THEORY,Probability Union,Quest 10-011: Garden Prob,How many trees are Mango OR Orange?,
Visual Question,SET_THEORY,Probability Union,Quest 10-011: Garden Prob,Probability of picking a fruit tree?,
Visual Question,SET_THEORY,Probability Algebra,Quest 10-006: Exam Results,Total = 40. M-only = E-only = x. Find x.,
Visual Question,SET_THEORY,Probability Algebra,Quest 10-006: Exam Results,Prob. of passing Math Only?,
Visual Question,SET_THEORY,Symmetric Difference II,Topic 10: Math & English,Phase 1: English only is 8 more than both. Neither is 4.,
Visual Question,SET_THEORY,Symmetric Difference II,Topic 10: Math & English,Phase 2: Total students = 92. Find x.,
Visual Question,SET_THEORY,Symmetric Difference II,Topic 10: Math & English,Find Total English students.,
Visual Question,SET_THEORY,Complement Equations,Topic 10: Sports Logic,"Given n(F') = 18 (Not Football), find p.",
Visual Question,SET_THEORY,Complement Equations,Topic 10: Sports Logic,Find n(F ∪ R) (The Union).,
Visual Question,SET_THEORY,Complement Equations,Topic 10: Sports Logic,Probability of playing neither?,
Visual Question,SET_THEORY,Final Mix,Topic 10: Math & Science,Total = 65. Total Science = 45. Find h.,
Visual Question,SET_THEORY,Final Mix,Topic 10: Math & Science,How many like Math ONLY?,
Visual Question,SET_THEORY,Final Mix,Topic 10: Math & Science,Probability of picking a pupil who likes Math?,
Visual Question,SET_THEORY,Probability Final,Quest 10-017: Sports Final,How many play only one sport?,
Visual Question,SET_THEORY,Probability Final,Quest 10-017: Sports Final,Probability of playing Only One?,
Visual Question,SET_THEORY,Solving via Total II,Topic 10: Fruits Total,Total = 55. Total Pineapples = 30. Find y.,
Visual Question,SET_THEORY,Solving via Total II,Topic 10: Fruits Total,How many like Apples altogether?,
Visual Question,SET_THEORY,Solving via Total II,Topic 10: Fruits Total,Probability of picking a pupil who likes Apples Only?,
Visual Question,SET_THEORY,Probability Final,Quest 10-018: Garden Prob,Total=100. Find x (Both).,
Visual Question,SET_THEORY,Probability Final,Quest 10-018: Garden Prob,Probability of Mango Only?,
Visual Question,SET_THEORY,Double Variables,Quest 10-018: Subject Sets,"Part 1: Given n(E) = 36, find n.",
Visual Question,SET_THEORY,Double Variables,Quest 10-018: Subject Sets,Part 2: Given n(M) = h + 29. Find Total n(M).,
Visual Question,SET_THEORY,Double Variables,Quest 10-018: Subject Sets,Find the Total Number of pupils.,
Visual Question,SET_THEORY,Number Probability,Quest 10-020: Prime Odds,Sort numbers < 10 into Primes & Odds.,
Visual Question,SET_THEORY,Number Probability,Quest 10-020: Prime Odds,Prob. of picking a number that is Prime AND Odd?,
Visual Question,SET_THEORY,Algebraic Complements,Quest 10-019: Complement Solver,Phase 1: S-only is 2m. Outside is m+4. Fill the diagram.,
Visual Question,SET_THEORY,Algebraic Complements,Quest 10-019: Complement Solver,Phase 2: n(G)' = 25 (Not G). Find m.,
Visual Question,SET_THEORY,Algebraic Complements,Quest 10-019: Complement Solver,Find Total n(S).,
Visual Question,SET_THEORY,Complement Algebra,Quest 10-019: Complement Solver,Phase 1: Construct the Diagram• G only: 15 &nbsp; • S only: 2m• Intersection: 5 &nbsp; • Outside: m+4,
Visual Question,SET_THEORY,Complement Algebra,Quest 10-019: Complement Solver,Phase 2: n(G)' = 25 (Not G). Find m.,
Visual Question,SET_THEORY,Complement Algebra,Quest 10-019: Complement Solver,Find Total n(S).,
Visual Question,SET_THEORY,Farm Logic,Quest 10-022: Farm Build,Phase 1: Build It• G-only: 20 &nbsp; • C-only: 30• Both: y &nbsp; • Neither: 5,
Visual Question,SET_THEORY,Farm Logic,Quest 10-022: Farm Build,Phase 2: Total=65. Find y.,
Visual Question,SET_THEORY,Intersection Probability,Quest 10-025: Drink Prob,Total=40. Find x (Both).,
Visual Question,SET_THEORY,Intersection Probability,Quest 10-025: Drink Prob,Probability of drinking Both?,
Visual Question,SET_THEORY,Probability of Union,Quest 10-026: Sports Prob,How many play at least one sport?,
Visual Question,SET_THEORY,Probability of Union,Quest 10-026: Sports Prob,Probability of picking a student who plays a sport?,
Visual Question,SET_THEORY,Finding Totals,Quest 10: Drink Stand,Phase 1: Juice Only is 2k. Soda Only is k. Fill diagram.,
Visual Question,SET_THEORY,Finding Totals,Quest 10: Drink Stand,Phase 2: Given n(Soda) = 30. Find k.,
Visual Question,SET_THEORY,Finding Totals,Quest 10: Drink Stand,Now find the Total Number of people.,
Visual Question,VENN_PROB_ENGINE,Probability Game,Quest 10: Probability Sim,P(Football)? (Total in A / Total People),
Visual Question,VENN_PROB_ENGINE,Probability Game,Quest 10: Probability Sim,What is P(A ∩ B)? (Both / Total),
Read,MATH_STUDY,Probability,Chance in Venn Diagrams,What is Probability?: Probability tells us the chance of picking someone from a specific group.Formula:Prob = (Target Count) / (Total People),
Read,MATH_STUDY,Probability,Chance in Venn Diagrams,Case 1: Simple Probability: Question: What is the probability of picking someone from Set A?Step 1: Find Total (30+10+20 = 60).Step 2: Find n(A) (30+10 = 40).Answer: 40/60 = 2/3.,
Read,MATH_STUDY,Probability,Chance in Venn Diagrams,Case 2: 'Only' Probability: Question: Prob. of picking someone who likes B ONLY?Logic: Look at the crescent moon on the right.n(B Only) = 20.Answer: 20/60 = 1/3.,
Read,MATH_STUDY,Probability,Chance in Venn Diagrams,Case 3: Algebra First!: Sometimes you must find x first.Question: Total=100. Find Prob(Both).Step 1: Solve for x.60 + 50 - x = 100 → x = 10.Step 2: Prob = 10/100.,
Read,MATH_STUDY,Probability,Chance in Venn Diagrams,"Case 4: Probability of 'Neither': Question: Prob. of picking someone outside?If Total = 60, and Outside = 14.Answer: 14/60.Always remember to count the people outside the circles!",
