qid,term,topic,subtopic,difficulty,questiontype,parentid,orderinparent,questiontext,optiona,optionb,optionc,optiond,correctanswer,hint,detailedsolution,imagelocation,tags,enginetypesim,modesim,filepathsim,filenamesim
SCI-P7-T1-00427,T1,Musculo-Skeletal System,hinge_ball-and-socket,E,MCQ,null,null,Which joint allows for 'circular movement'?,Hinge joint,Ball and socket joint,Suture joint,Fixed joint,Option_B,This is movement 'all round'.,Ball and socket joints allow for rotation and circular movement.,,"[""P7"",""Science"",""Movement""]",,,,
SCI-P7-T1-00428,T1,Musculo-Skeletal System,hinge_ball-and-socket,M,MCQ,null,null,The hip joint is formed by the femur and the?,Tibia,Ribs,Pelvis,Scapula,Option_C,It's the large bone in your lower trunk.,The hip is a ball and socket joint involving the pelvic girdle.,,"[""P7"",""Science"",""Hip""]",,,,
SCI-P7-T1-00429,T1,Musculo-Skeletal System,hinge_ball-and-socket,H,MCQ,null,null,What covers the 'ball' and 'socket' surfaces to reduce friction?,Ligaments,Cartilage,Hair,Skin,Option_B,"It's a smooth, white cushion.",Cartilage provides a smooth surface for the ball and socket to glide.,,"[""P7"",""Science"",""Cartilage""]",,,,
SCI-P7-T1-00430,T1,Musculo-Skeletal System,hinge_ball-and-socket,E,MCQ,null,null,The elbow allows your arm to?,Spin in circles,Bend and straighten,Move sideways only,Stay perfectly still,Option_B,Think of doing a 'bicep curl'.,The elbow is a hinge joint that allows for bending (flexing) and straightening (extending).,,"[""P7"",""Science"",""Elbow""]",,,,
SCI-P7-T1-00431,T1,Musculo-Skeletal System,hinge_ball-and-socket,M,MCQ,null,null,How many ball and socket joints does a human have in total?,2,4,8,206,Option_B,Two shoulders and two hips.,Humans have 4 major ball and socket joints (shoulders and hips).,,"[""P7"",""Science"",""Anatomy""]",,,,
SCI-P7-T1-00432,T1,Musculo-Skeletal System,hinge_ball-and-socket,H,MCQ,null,null,Which joint type is most suitable for throwing a ball?,Hinge joint,Ball and socket joint,Immovable joint,Pivot joint,Option_B,Throwing requires a wide circular motion.,The multi-directional movement of the ball and socket joint (shoulder) is key for throwing.,,"[""P7"",""Science"",""Shoulder""]",,,,
SCI-P7-T1-00433,T1,Musculo-Skeletal System,hinge_ball-and-socket,E,MCQ,null,null,A hinge joint allows movement in?,One plane,All directions,Circular form only,No plane,Option_A,Like a book opening.,"Hinge joints are uni-axial, meaning they move in one plane.",,"[""P7"",""Science"",""Hinge Joint""]",,,,
SCI-P7-T1-00434,T1,Musculo-Skeletal System,hinge_ball-and-socket,M,MCQ,null,null,Where would you find a hinge joint in the upper limb?,The shoulder,The elbow,The wrist,The palm,Option_B,It's the middle joint of the arm.,The elbow is the main hinge joint of the upper limb.,,"[""P7"",""Science"",""Elbow""]",,,,
SCI-P7-T1-00435,T1,Musculo-Skeletal System,hinge_ball-and-socket,H,MCQ,null,null,What is the role of synovial fluid in a ball and socket joint?,To hold the bones together,To provide lubrication for all-round movement,To make the bone hard,To store fat,Option_B,It acts as oil for the 'ball' and 'cup'.,Synovial fluid is crucial for reducing friction during multi-directional movement.,,"[""P7"",""Science"",""Synovial Fluid""]",,,,
SCI-P7-T1-00436,T1,Musculo-Skeletal System,hinge_ball-and-socket,E,MCQ,null,null,Can the hip move in more directions than the knee?,Yes,No,Only when jumping,Only in babies,Option_A,Compare a hinge to a ball and socket.,"As a ball and socket joint, the hip has much more range than the knee hinge.",,"[""P7"",""Science"",""Comparison""]",,,,
SCI-P7-T1-00437,T1,Musculo-Skeletal System,hinge_ball-and-socket,M,MCQ,null,null,Which joint is located between the humerus and the scapula?,The hip,The shoulder,The elbow,The knee,Option_B,Upper arm to shoulder blade.,The shoulder is the joint connecting the humerus to the scapula.,,"[""P7"",""Science"",""Shoulder""]",,,,
SCI-P7-T1-00438,T1,Musculo-Skeletal System,hinge_ball-and-socket,H,MCQ,null,null,What is the common feature of all hinge and ball and socket joints?,They are immovable,They are synovial (movable) joints,They allow movement in all directions,They have no cartilage,Option_B,They both have fluid.,"Both are types of synovial joints, meaning they allow movement and have fluid.",,"[""P7"",""Science"",""Joints""]",,,,
SCI-P7-T1-00439,T1,Musculo-Skeletal System,hinge_ball-and-socket,E,MCQ,null,null,"If you can only move a joint 'back and forth', it is likely a?",Ball and socket joint,Hinge joint,Suture joint,Fixed joint,Option_B,One direction only.,Back and forth movement in one plane is the signature of a hinge joint.,,"[""P7"",""Science"",""Hinge Joint""]",,,,
SCI-P7-T1-00440,T1,Musculo-Skeletal System,hinge_ball-and-socket,M,MCQ,null,null,The shoulder joint is a meeting point for which two bones?,Clavicle and Humerus,Scapula and Humerus,Radius and Ulna,Sternum and Ribs,Option_B,Look at the shoulder anatomy.,The shoulder joint specifically links the humerus and the scapula.,,"[""P7"",""Science"",""Shoulder""]",,,,
SCI-P7-T1-00441,T1,Musculo-Skeletal System,hinge_ball-and-socket,H,MCQ,null,null,"What is the socket of the shoulder joint called (not in all notes, but in advanced P.7)?",Acetabulum,Glenoid cavity,Cranium,Orbit,Option_B,Starts with G.,The head of the humerus fits into the glenoid cavity of the scapula.,,"[""P7"",""Science"",""Shoulder""]",,,,
SCI-P7-T1-00442,T1,Musculo-Skeletal System,hinge_ball-and-socket,M,MCQ,null,null,Which joint type is best for stability rather than range of motion?,Ball and socket,Hinge,Pivot,Fixed,Option_B,Less directions means more stability.,Hinge joints are generally more stable but have less movement range than ball and socket.,,"[""P7"",""Science"",""Hinge Joint""]",,,,
SCI-P7-T1-00443,T1,Musculo-Skeletal System,hinge_ball-and-socket,E,MCQ,null,null,Movement in a 'circular form' is allowed by?,Hinge joints,Ball and socket joints,Immovable joints,Sutures,Option_B,Rotation in circles.,Only ball and socket joints allow full circular rotation.,,"[""P7"",""Science"",""Movement""]",,,,
SCI-P7-T1-00444,T1,Musculo-Skeletal System,hinge_ball-and-socket,M,MCQ,null,null,The knee joint is found between the femur and the?,Humerus,Tibia,Radius,Scapula,Option_B,The shin bone.,The knee is the hinge joint connecting the thigh bone (femur) and shin bone (tibia).,,"[""P7"",""Science"",""Knee""]",,,,
SCI-P7-T1-00445,T1,Musculo-Skeletal System,hinge_ball-and-socket,H,MCQ,null,null,Which of these activities relies on ball and socket joints?,Blinking,Nodding,Swimming strokes,Chewing,Option_C,Think of the arm rotation in water.,Swimming requires the wide circular motion of the shoulder joint.,,"[""P7"",""Science"",""Movement""]",,,,
SCI-P7-T1-00446,T1,Musculo-Skeletal System,hinge_ball-and-socket,E,MCQ,null,null,Ball and socket joints are?,Movable,Immovable,Fixed,Rigid,Option_A,They allow a lot of action.,"As synovial joints, they are highly movable.",,"[""P7"",""Science"",""Joints""]",,,,
SCI-P7-T1-00447,T1,Musculo-Skeletal System,hinge_ball-and-socket,M,MCQ,null,null,The hip joint is more stable but less mobile than the shoulder joint. Why?,It has no fluid,The socket is deeper,It has no cartilage,It is made of wood,Option_B,Think of holding weight vs. reaching out.,"The hip socket is deeper to support body weight, making it more stable.",,"[""P7"",""Science"",""Hip""]",,,,
SCI-P7-T1-00448,T1,Musculo-Skeletal System,hinge_ball-and-socket,H,MCQ,null,null,What allows the 'one plane' movement of the elbow?,The shape of the bones,Only muscles,The skin,Air pressure,Option_A,One bone has a hollow that matches the rounded end of the other.,The interlocking shape of the humerus and ulna creates the hinge mechanism.,,"[""P7"",""Science"",""Elbow""]",,,,
SCI-P7-T1-00449,T1,Musculo-Skeletal System,hinge_ball-and-socket,E,MCQ,null,null,Can a ball and socket joint move backward?,Yes,No,Only if broken,Only in children,Option_A,Try moving your arm behind you.,"Yes, ball and socket joints allow movement in all directions, including backward.",,"[""P7"",""Science"",""Movement""]",,,,
SCI-P7-T1-00450,T1,Musculo-Skeletal System,hinge_ball-and-socket,M,MCQ,null,null,Which joint allows you to sit down by bending your legs?,Neck,Shoulder,Knee and Hip,Wrist,Option_C,You need both the thigh and leg to bend.,Sitting requires bending at the hip (ball and socket) and knee (hinge).,,"[""P7"",""Science"",""Movement""]",,,,
SCI-P7-T1-00451,T1,Musculo-Skeletal System,hinge_ball-and-socket,H,MCQ,null,null,Which bone forms the socket of the hip joint?,The femur,The pelvic girdle,The sacrum,The coccyx,Option_B,It's the large bone in the lower trunk.,The pelvic girdle contains a cup-like socket for the femur head.,,"[""P7"",""Science"",""Hip""]",,,,
SCI-P7-T1-00452,T1,Musculo-Skeletal System,hinge_ball-and-socket,E,MCQ,null,null,The knee joint is which type?,Pivot,Ball and socket,Hinge,Suture,Option_C,Works like a door.,The knee is a hinge joint.,,"[""P7"",""Science"",""Knee""]",,,,
SCI-P7-T1-00453,T1,Musculo-Skeletal System,hinge_ball-and-socket,M,MCQ,null,null,"A joint that allows movement forward, backward, and sideways is a?",Hinge joint,Ball and socket joint,Pivot joint,Fixed joint,Option_B,Many directions.,Ball and socket joints are characterized by multi-directional movement.,,"[""P7"",""Science"",""Movement""]",,,,
SCI-P7-T1-00454,T1,Musculo-Skeletal System,hinge_ball-and-socket,H,MCQ,null,null,What is the main advantage of the ball-and-socket joint's design?,It never breaks,It allows for a huge range of motion,It produces blood,It has no nerves,Option_B,Think of why it is the most flexible.,The fit of a rounded head into a cup allows for free movement in many planes.,,"[""P7"",""Science"",""Movement""]",,,,
SCI-P7-T1-00455,T1,Musculo-Skeletal System,hinge_ball-and-socket,E,MCQ,null,null,Which joint allows you to lift your leg sideways?,Knee,Hip,Ankle,Neck,Option_B,It's a ball and socket joint.,The hip joint allows for sideways (lateral) movement of the leg.,,"[""P7"",""Science"",""Hip""]",,,,
SCI-P7-T1-00456,T1,Musculo-Skeletal System,hinge_ball-and-socket,M,MCQ,null,null,Hinge joints are found at the knee and the?,Shoulder,Elbow,Hip,Head,Option_B,Another one-way bending joint.,The elbow is the other major hinge joint in the body.,,"[""P7"",""Science"",""Elbow""]",,,,
SCI-P7-T1-00457,T1,Musculo-Skeletal System,hinge_ball-and-socket,H,MCQ,null,null,What type of movement is 'flexion and extension'?,Circular,Bending and straightening,Side to side,Rotating,Option_B,Typical of hinge joints.,Hinge joints primarily perform flexion (bending) and extension (straightening).,,"[""P7"",""Science"",""Hinge Joint""]",,,,
SCI-P7-T1-00458,T1,Musculo-Skeletal System,hinge_ball-and-socket,E,MCQ,null,null,Can the elbow move in a circle like the shoulder?,Yes,No,Only when swimming,Only if you are double-jointed,Option_B,Try it!,The elbow is a hinge joint and cannot rotate in a full circle like the shoulder.,,"[""P7"",""Science"",""Elbow""]",,,,
SCI-P7-T1-00459,T1,Musculo-Skeletal System,hinge_ball-and-socket,M,MCQ,null,null,Where is the 'ball' of the hip joint?,At the top of the femur,In the middle of the tibia,In the pelvic bone,On the knee,Option_A,It's the head of the thigh bone.,The rounded top of the femur forms the ball of the hip joint.,,"[""P7"",""Science"",""Femur""]",,,,
SCI-P7-T1-00460,T1,Musculo-Skeletal System,hinge_ball-and-socket,H,MCQ,null,null,The shoulder joint provides room for?,Blood production,Extensive muscular attachment and wide range of motion,Storage of food,Nerve protection only,Option_B,Think of the muscle-joint relationship.,The design of the shoulder allows for many muscles to attach and move the arm freely.,,"[""P7"",""Science"",""Shoulder""]",,,,
SCI-P7-T1-00461,T1,Musculo-Skeletal System,pivot_and_gliding,E,MCQ,null,null,Which type of joint allows the rotation of one bone around another?,Hinge joint,Ball and socket joint,Pivot joint,Suture joint,Option_C,Think of how your head turns.,A pivot joint allows one bone to rotate or turn around another bone.,,"[""P7"",""Science"",""Pivot Joint""]",,,,
SCI-P7-T1-00462,T1,Musculo-Skeletal System,pivot_and_gliding,E,MCQ,null,null,Where is the primary example of a pivot joint found in the human body?,The elbow,The knee,The neck,The ankle,Option_C,It's what allows you to look left and right.,"In humans, the best example of a pivot joint is found in the neck.",,"[""P7"",""Science"",""Neck""]",,,,
SCI-P7-T1-00463,T1,Musculo-Skeletal System,pivot_and_gliding,M,MCQ,null,null,Which head movements are made possible by the pivot joint in the neck?,Blinking,Nodding and shaking the head,Moving the toes,Chewing food,Option_B,"Action for ""Yes"" and ""No"".",Pivot joints in the neck allow us to nod our heads and shake them from side to side.,,"[""P7"",""Science"",""Movement""]",,,,
SCI-P7-T1-00464,T1,Musculo-Skeletal System,pivot_and_gliding,E,MCQ,null,null,In which type of joint do flat bones slide over each other?,Pivot joint,Gliding joint,Hinge joint,Ball and socket joint,Option_B,The name describes the sliding motion.,Gliding joints consist of flat surfaces that slide or glide over one another.,,"[""P7"",""Science"",""Gliding Joint""]",,,,
SCI-P7-T1-00465,T1,Musculo-Skeletal System,pivot_and_gliding,E,MCQ,null,null,Where are gliding joints located in the human body?,In the skull,In the wrist and ankle,In the hip,In the jaw,Option_B,Think of the small bones in your hand and foot.,Gliding joints are found between the carpals (wrist) and tarsals (ankle).,,"[""P7"",""Science"",""Wrist""]",,,,
SCI-P7-T1-00466,T1,Musculo-Skeletal System,pivot_and_gliding,M,MCQ,null,null,Gliding joints are also known as?,Fixed joints,Plane joints,Suture joints,Hinge joints,Option_B,Think of a flat surface.,Gliding joints are often called plane joints because of their flat surfaces.,,"[""P7"",""Science"",""Gliding Joint""]",,,,
SCI-P7-T1-00467,T1,Musculo-Skeletal System,pivot_and_gliding,H,MCQ,null,null,A pivot joint consists of a rounded end of one bone fitting into a ______ formed by another bone.,Socket,Ring,Square,Ball,Option_B,Think of a key turning in a lock.,A pivot joint is designed with one bone rotating inside a bony ring.,,"[""P7"",""Science"",""Structure""]",,,,
SCI-P7-T1-00468,T1,Musculo-Skeletal System,pivot_and_gliding,M,MCQ,null,null,Which bones are involved in the gliding joints of the wrist?,Tarsals,Carpals,Phalanges,Radius,Option_B,These are the short bones of the hand area.,The carpals in the wrist slide over each other to provide flexibility.,,"[""P7"",""Science"",""Carpals""]",,,,
SCI-P7-T1-00469,T1,Musculo-Skeletal System,pivot_and_gliding,M,MCQ,null,null,Which bones are involved in the gliding joints of the ankle?,Carpals,Metacarpals,Tarsals,Vertebrae,Option_C,These are the short bones of the foot area.,Tarsals in the ankle form gliding joints that allow the foot to adjust positions.,,"[""P7"",""Science"",""Tarsals""]",,,,
SCI-P7-T1-00470,T1,Musculo-Skeletal System,pivot_and_gliding,H,MCQ,null,null,The pivot joint in the neck is specifically located between the first and second ______?,Vertebrae,Ribs,Limbs,Skull bones,Option_A,Bones of the backbone.,The pivot joint is between the first (Atlas) and second (Axis) cervical vertebrae.,,"[""P7"",""Science"",""Vertebrae""]",,,,
SCI-P7-T1-00471,T1,Musculo-Skeletal System,pivot_and_gliding,M,MCQ,null,null,How much rotation does a gliding joint typically produce?,Complete circular rotation,Very little rotation,No rotation at all,360 degree movement,Option_B,The movement is mostly sliding.,Gliding joints produce very little rotation; their primary motion is sliding.,,"[""P7"",""Science"",""Movement""]",,,,
SCI-P7-T1-00472,T1,Musculo-Skeletal System,pivot_and_gliding,E,MCQ,null,null,"Which joint allows you to say ""no"" by turning your head?",Hinge joint,Gliding joint,Pivot joint,Ball and socket joint,Option_C,Rotation in the neck.,Turning the head side-to-side is a rotational movement allowed by the pivot joint.,,"[""P7"",""Science"",""Movement""]",,,,
SCI-P7-T1-00473,T1,Musculo-Skeletal System,pivot_and_gliding,H,MCQ,null,null,What is the main physical feature of bones in a gliding joint?,They are round like balls,They are long and thin,They are relatively flat,They are hollow,Option_C,Flat surfaces slide best.,Gliding joints are made of relatively flat bone surfaces.,,"[""P7"",""Science"",""Structure""]",,,,
SCI-P7-T1-00474,T1,Musculo-Skeletal System,pivot_and_gliding,M,MCQ,null,null,Which of these allows your wrist to move slightly in many directions?,A single hinge joint,The gliding of multiple carpals,A fixed suture,The elbow bone,Option_B,Small bones sliding together.,The sliding of carpal bones allows the wrist to be flexible and adjust positions.,,"[""P7"",""Science"",""Wrist""]",,,,
SCI-P7-T1-00475,T1,Musculo-Skeletal System,pivot_and_gliding,E,MCQ,null,null,The pivot joint is which type of joint?,Movable,Immovable,Fixed,Rigid,Option_A,It allows the head to move.,"As a synovial joint, the pivot joint is classified as movable.",,"[""P7"",""Science"",""Joints""]",,,,
SCI-P7-T1-00476,T1,Musculo-Skeletal System,pivot_and_gliding,H,MCQ,null,null,Which vertebra is responsible for 'pivoting' the head?,The Sacrum,The Axis (second vertebra),The Lumbar,The Coccyx,Option_B,It acts as the axle or axis.,The Axis (second cervical vertebra) allows for the rotation of the head.,,"[""P7"",""Science"",""Vertebrae""]",,,,
SCI-P7-T1-00477,T1,Musculo-Skeletal System,pivot_and_gliding,M,MCQ,null,null,Why are gliding joints important when walking on uneven ground?,They lock the foot in place,They allow the ankle bones to slide and adjust,They make the legs longer,They produce more blood,Option_B,Flexibility in the foot.,Gliding joints in the tarsals allow the foot to adapt to different surfaces.,,"[""P7"",""Science"",""Functions""]",,,,
SCI-P7-T1-00478,T1,Musculo-Skeletal System,pivot_and_gliding,E,MCQ,null,null,"Which joint allows you to move your head up and down as if saying ""yes""?",Hip joint,Knee joint,Pivot joint in the neck,Elbow joint,Option_C,Movements of the neck.,The pivot joint allows for both shaking and nodding of the head.,,"[""P7"",""Science"",""Movement""]",,,,
SCI-P7-T1-00479,T1,Musculo-Skeletal System,pivot_and_gliding,M,MCQ,null,null,"If a joint allows bones to move 'past each other', it is a?",Ball and socket joint,Gliding joint,Hinge joint,Suture joint,Option_B,Bones slide past.,Sliding past each other is the defining movement of a gliding joint.,,"[""P7"",""Science"",""Gliding Joint""]",,,,
SCI-P7-T1-00480,T1,Musculo-Skeletal System,pivot_and_gliding,H,MCQ,null,null,Which of these is NOT a location for a gliding joint?,The wrist,The ankle,Between vertebrae (spine),The middle of the humerus,Option_D,Gliding happens between meeting bone surfaces.,Gliding joints are between small bones or vertebrae; the humerus is a single bone.,,"[""P7"",""Science"",""Anatomy""]",,,,
SCI-P7-T1-00481,T1,Musculo-Skeletal System,pivot_and_gliding,E,MCQ,null,null,Does a pivot joint allow you to swing your arm in a circle?,Yes,No,Only the shoulder,Only the elbow,Option_B,Rotation is different from circular swinging.,Only ball and socket joints allow full circular swings.,,"[""P7"",""Science"",""Comparison""]",,,,
SCI-P7-T1-00482,T1,Musculo-Skeletal System,pivot_and_gliding,M,MCQ,null,null,The carpals are found in the ______?,Foot,Hand (Wrist),Head,Chest,Option_B,Part of the upper limb.,The carpals are the 8 bones that form the wrist.,,"[""P7"",""Science"",""Carpals""]",,,,
SCI-P7-T1-00483,T1,Musculo-Skeletal System,pivot_and_gliding,M,MCQ,null,null,The tarsals are found in the ______?,Wrist,Ankle,Shoulder,Hip,Option_B,Part of the lower limb.,The tarsals are the bones that form the ankle.,,"[""P7"",""Science"",""Tarsals""]",,,,
SCI-P7-T1-00484,T1,Musculo-Skeletal System,pivot_and_gliding,H,MCQ,null,null,Which joint is most limited in its range of motion among these?,Ball and socket,Hinge,Gliding,Pivot,Option_C,It only allows small sliding movements.,Gliding joints have the most restricted movement compared to other movable joints.,,"[""P7"",""Science"",""Comparison""]",,,,
SCI-P7-T1-00485,T1,Musculo-Skeletal System,pivot_and_gliding,E,MCQ,null,null,Rotation of certain body parts is the main work of?,Hinge joints,Pivot joints,Sutures,Gliding joints,Option_B,Think of a spinning movement.,Pivot joints are specifically designed for rotation.,,"[""P7"",""Science"",""Pivot Joint""]",,,,
SCI-P7-T1-00486,T1,Musculo-Skeletal System,pivot_and_gliding,M,MCQ,null,null,Which type of joint helps in fine adjustments of the hand?,Hip joint,Gliding joints in the wrist,Knee joint,Skull sutures,Option_B,Small bones sliding.,The gliding joints of the carpals allow for the fine flexibility of the wrist.,,"[""P7"",""Science"",""Functions""]",,,,
SCI-P7-T1-00487,T1,Musculo-Skeletal System,pivot_and_gliding,H,MCQ,null,null,What is the role of synovial fluid in a gliding joint?,To hold bones together,To provide lubrication for sliding,To make the bone hard,To store fat,Option_B,It acts as oil for sliding.,Even small sliding movements need lubrication to prevent wear and tear.,,"[""P7"",""Science"",""Synovial Fluid""]",,,,
SCI-P7-T1-00488,T1,Musculo-Skeletal System,pivot_and_gliding,E,MCQ,null,null,Can the gliding joint in the ankle move the foot in a full circle?,Yes,No,Only when jumping,Only in babies,Option_B,The movement is limited.,"Ankle movements are complex but gliding joints only allow sliding, not full rotation.",,"[""P7"",""Science"",""Comparison""]",,,,
SCI-P7-T1-00489,T1,Musculo-Skeletal System,pivot_and_gliding,H,MCQ,null,null,The first neck vertebra that the head rests on is the?,Axis,Atlas,Sacrum,Mandible,Option_B,Named after a giant who held up the world.,The Atlas (first vertebra) supports the skull and meets the Axis to form the pivot.,,"[""P7"",""Science"",""Vertebrae""]",,,,
SCI-P7-T1-00490,T1,Musculo-Skeletal System,pivot_and_gliding,M,MCQ,null,null,Which movement is shared by both the wrist and the ankle?,Walking,Gliding of small bones,Circular swinging,No movement,Option_B,Both have small flat bones.,Both areas contain gliding joints (between carpals and tarsals).,,"[""P7"",""Science"",""Comparison""]",,,,
SCI-P7-T1-00491,T1,Musculo-Skeletal System,pivot_and_gliding,E,MCQ,null,null,A pivot joint allows ______ movement?,Sliding,Rotational,Fixed,No,Option_B,Think of turning a knob.,"Pivot joints are the ""rotation"" specialists of the body.",,"[""P7"",""Science"",""Pivot Joint""]",,,,
SCI-P7-T1-00492,T1,Musculo-Skeletal System,pivot_and_gliding,M,MCQ,null,null,Which joint allows you to look over your shoulder?,Hinge,Pivot,Ball and socket,Gliding,Option_B,You have to rotate your neck.,The pivot joint in the neck allows you to rotate your head to look sideways.,,"[""P7"",""Science"",""Movement""]",,,,
SCI-P7-T1-00493,T1,Musculo-Skeletal System,pivot_and_gliding,H,MCQ,null,null,Gliding movements produce ______ rotation?,Maximum,Very little,Complete,No,Option_B,Check the notes on 'Gliding joint'.,Gliding movements produce very little rotation; they are mostly linear slides.,,"[""P7"",""Science"",""Gliding Joint""]",,,,
SCI-P7-T1-00494,T1,Musculo-Skeletal System,pivot_and_gliding,E,MCQ,null,null,Are the joints between the carpals movable?,Yes,No,Only in adults,Never,Option_A,You can move your wrist.,"Yes, they are movable (synovial) gliding joints.",,"[""P7"",""Science"",""Joints""]",,,,
SCI-P7-T1-00495,T1,Musculo-Skeletal System,pivot_and_gliding,M,MCQ,null,null,Where do you find the Axis and Atlas vertebrae?,In the lower back,In the neck,In the chest,In the tail,Option_B,They are cervical vertebrae.,"These are the first two bones of the spine, located in the neck.",,"[""P7"",""Science"",""Neck""]",,,,
SCI-P7-T1-00496,T1,Musculo-Skeletal System,pivot_and_gliding,H,MCQ,null,null,What prevents the vertebrae in the neck from rubbing together?,Skin,Synovial fluid and cartilage,Muscle,Nerves,Option_B,Typical of all movable joints.,"Like other synovial joints, the neck pivot joint has fluid and cartilage.",,"[""P7"",""Science"",""Protection""]",,,,
SCI-P7-T1-00497,T1,Musculo-Skeletal System,pivot_and_gliding,E,MCQ,null,null,Which joint is used more when typing on a keyboard?,Hip joint,Gliding joints of the wrist,Knee joint,Neck pivot,Option_B,Think of your hand position.,The wrist joints allow for the flexible positioning needed to type.,,"[""P7"",""Science"",""Functions""]",,,,
SCI-P7-T1-00498,T1,Musculo-Skeletal System,pivot_and_gliding,M,MCQ,null,null,How many carpals form the gliding joints in one wrist?,5,14,8,2,Option_C,Total small bones in the wrist.,There are 8 carpal bones in the wrist that slide against each other.,,"[""P7"",""Science"",""Carpals""]",,,,
SCI-P7-T1-00499,T1,Musculo-Skeletal System,pivot_and_gliding,M,MCQ,null,null,How many tarsals are found in one ankle according to your notes?,8,5,14,7,Option_A,Small bones of the foot.,The notes identify 8 tarsal bones in the ankle.,,"[""P7"",""Science"",""Tarsals""]",,,,
SCI-P7-T1-00500,T1,Musculo-Skeletal System,pivot_and_gliding,H,MCQ,null,null,What type of joint allows the small bones of the hand to shift when you make a fist?,Hinge,Ball and socket,Gliding,Fixed,Option_C,Small bones sliding.,The gliding joints between carpals allow the wrist and hand to change shape.,,"[""P7"",""Science"",""Gliding Joint""]",,,,
SCI-P7-T1-00501,T1,Musculo-Skeletal System,pivot_and_gliding,E,MCQ,null,null,The neck joint is which type?,Fixed,Movable (Pivot),Immovable,Hinge,Option_B,It moves in circles and side-to-side.,The neck contains a movable pivot joint.,,"[""P7"",""Science"",""Joints""]",,,,
SCI-P7-T1-00502,T1,Musculo-Skeletal System,pivot_and_gliding,M,MCQ,null,null,Which joint allows you to rotate your wrist?,Gliding joint,Pivot joint,Hinge joint,Ball and socket,Option_A,Bones slide past each other.,The sliding of the carpal bones allows for the rotation and bending of the wrist.,,"[""P7"",""Science"",""Wrist""]",,,,
SCI-P7-T1-00503,T1,Musculo-Skeletal System,pivot_and_gliding,H,MCQ,null,null,"In a pivot joint, the rounded bone rotates around its own ______?",Circle,Axis,Square,Corner,Option_B,A central point of turning.,Pivot joints allow a bone to spin around its own longitudinal axis.,,"[""P7"",""Science"",""Pivot Joint""]",,,,
SCI-P7-T1-00504,T1,Musculo-Skeletal System,pivot_and_gliding,E,MCQ,null,null,Turning a screwdriver relies most on which joint type in the arm/hand?,Hinge,Gliding,Fixed,None,Option_B,The wrist must rotate/slide.,Rotating the wrist to turn objects involves the gliding of carpal bones.,,"[""P7"",""Science"",""Functions""]",,,,
SCI-P7-T1-00505,T1,Musculo-Skeletal System,pivot_and_gliding,M,MCQ,null,null,Where are 'plane joints' typically found?,The knee,The wrist and ankle,The skull,The jaw,Option_B,Another name for gliding joints.,Wrist and ankle joints are often referred to as plane joints.,,"[""P7"",""Science"",""Gliding Joint""]",,,,
SCI-P7-T1-00506,T1,Musculo-Skeletal System,pivot_and_gliding,H,MCQ,null,null,What type of tissue is found between the gliding bones?,Muscle,Nerves,Cartilage,Fat,Option_C,To stop them from rubbing.,The surfaces of the gliding carpals and tarsals are covered in cartilage.,,"[""P7"",""Science"",""Cartilage""]",,,,
SCI-P7-T1-00507,T1,Musculo-Skeletal System,pivot_and_gliding,E,MCQ,null,null,The pivot joint is found in the ______?,Leg,Arm,Neck,Chest,Option_C,It's where you turn your head.,Primary location for the pivot joint is the neck.,,"[""P7"",""Science"",""Neck""]",,,,
SCI-P7-T1-00508,T1,Musculo-Skeletal System,pivot_and_gliding,M,MCQ,null,null,What allows the head to move back and forth?,The hinge joint,The pivot joint of the first/second vertebrae,The skull bones,The jaw,Option_B,Check the 'Pivot joint' notes.,The joint between the Atlas and Axis allows the head to move back and forth and rotate.,,"[""P7"",""Science"",""Movement""]",,,,
SCI-P7-T1-00509,T1,Musculo-Skeletal System,pivot_and_gliding,H,MCQ,null,null,Which joint type is best for maintaining balance on a moving boat?,Fixed joint,Gliding joint (ankle),Hinge joint,Suture,Option_B,Small adjustments in the feet.,The gliding tarsals allow the feet to shift and maintain balance.,,"[""P7"",""Science"",""Functions""]",,,,
SCI-P7-T1-00510,T1,Musculo-Skeletal System,pivot_and_gliding,E,MCQ,null,null,Is the joint in the ankle a hinge joint?,Yes,No,Only when jumping,Always,Option_B,It is a gliding joint.,"In the P.7 notes, the ankle is identified as a gliding joint.",,"[""P7"",""Science"",""Anatomy""]",,,,
SCI-P7-T1-00511,T1,Musculo-Skeletal System,pivot_and_gliding,M,MCQ,null,null,Rotation is the characteristic movement of which joint?,Hinge,Pivot,Gliding,Ball and socket,Option_B,Think of a spinning axle.,Pivot joints are the only ones whose primary job is rotation.,,"[""P7"",""Science"",""Pivot Joint""]",,,,
SCI-P7-T1-00512,T1,Musculo-Skeletal System,pivot_and_gliding,H,MCQ,null,null,The movement of the wrist is made of ______ sliding over each other?,Long bones,Flat bones,Muscle fibers,Nerves,Option_B,Check the definition of gliding joints.,Gliding joints are where flat bones slide past each other.,,"[""P7"",""Science"",""Gliding Joint""]",,,,
SCI-P7-T1-00513,T1,Musculo-Skeletal System,pivot_and_gliding,E,MCQ,null,null,Which joint helps us nod our heads?,Hip,Knee,Pivot joint,Elbow,Option_C,Action of the neck.,The pivot joint in the neck facilitates nodding.,,"[""P7"",""Science"",""Movement""]",,,,
